normalized_name,drug_name,ingredient_name,atc_code,atc_group_code,atc_group_name,atc_class_label,drug_class
arginine hydrochloride,arginine hydrochloride,arginine hydrochloride,B05XB01,B05XB,Amino acids,Amino acids,unknown
aripiprazole,aripiprazole,aripiprazole,N05AX12,N05AX,Other antipsychotics,Other antipsychotics,unknown
armodafinil,armodafinil,armodafinil,N06BA13,N06BA,Centrally acting sympathomimetics,Centrally acting sympathomimetics,unknown
arsenic trioxide,arsenic trioxide,arsenic trioxide,L01XX27,L01XX,Other antineoplastic agents,Other antineoplastic agents,unknown
arsthinol,arsthinol,arsthinol,P01AR01,P01AR,Arsenic compounds,Arsenic compounds,unknown
artemether,artemether,artemether,P01BE02,P01BE,"Artemisinin and derivatives, plain","Artemisinin and derivatives, plain",unknown
artemisinin,artemisinin,artemisinin,P01BE01,P01BE,"Artemisinin and derivatives, plain","Artemisinin and derivatives, plain",unknown
artemotil,artemotil,artemotil,P01BE04,P01BE,"Artemisinin and derivatives, plain","Artemisinin and derivatives, plain",unknown
artenimol,artenimol,artenimol,P01BE05,P01BE,"Artemisinin and derivatives, plain","Artemisinin and derivatives, plain",unknown
artesunate,artesunate,artesunate,P01BE03,P01BE,"Artemisinin and derivatives, plain","Artemisinin and derivatives, plain",unknown
articaine,articaine,articaine,N01BB08,N01BB,Amides,Amides,unknown
ascorbic acid,ascorbic acid,ascorbic acid,G01AD03,G01AD,Organic acids,Organic acids,unknown
ascorbic acid vit c,ascorbic acid (vit C),ascorbic acid (vit C),A11GA01,A11GA,"Ascorbic acid (vitamin C), plain","Ascorbic acid (vitamin C), plain",unknown
asenapine,asenapine,asenapine,N05AH05,N05AH,"Diazepines, oxazepines, thiazepines and oxepines","Diazepines, oxazepines, thiazepines and oxepines",unknown
asfotase alfa,asfotase alfa,asfotase alfa,A16AB13,A16AB,Enzymes,Enzymes,unknown
asparaginase,asparaginase,asparaginase,L01XX02,L01XX,Other antineoplastic agents,Other antineoplastic agents,unknown
aspoxicillin,aspoxicillin,aspoxicillin,J01CA19,J01CA,Penicillins with extended spectrum,Penicillins with extended spectrum,penicillin
astemizole,astemizole,astemizole,R06AX11,R06AX,Other antihistamines for systemic use,Other antihistamines for systemic use,antihistamine
asunaprevir,asunaprevir,asunaprevir,J05AP06,J05AP,Antivirals for treatment of HCV infections,Antivirals for treatment of HCV infections,unknown
ataluren,ataluren,ataluren,M09AX03,M09AX,Other drugs for disorders of the musculo-skeletal system,Other drugs for disorders of the musculo-skeletal system,unknown
atazanavir,atazanavir,atazanavir,J05AE08,J05AE,Protease inhibitors,Protease inhibitors,unknown
atenolol,atenolol,atenolol,C07AB03,C07AB,"Beta blocking agents, selective","Beta blocking agents, selective",beta_blocker
atezolizumab,atezolizumab,atezolizumab,L01XC32,L01XC,Monoclonal antibodies,Monoclonal antibodies,unknown
atomoxetine,atomoxetine,atomoxetine,N06BA09,N06BA,Centrally acting sympathomimetics,Centrally acting sympathomimetics,unknown
atorvastatin,atorvastatin,atorvastatin,C10AA05,C10AA,HMG CoA reductase inhibitors,HMG CoA reductase inhibitors,statin
atosiban,atosiban,atosiban,G02CX01,G02CX,Other gynecologicals,Other gynecologicals,unknown
atovaquone,atovaquone,atovaquone,P01AX06,P01AX,Other agents against amoebiasis and other protozoal diseases,Other agents against amoebiasis and other protozoal diseases,unknown
atracurium,atracurium,atracurium,M03AC04,M03AC,Other quaternary ammonium compounds,Other quaternary ammonium compounds,unknown
atropine,atropine,atropine,A03BA01,A03BA,"Belladonna alkaloids, tertiary amines","Belladonna alkaloids, tertiary amines",unknown
attapulgite,attapulgite,attapulgite,A07BC04,A07BC,Other intestinal adsorbents,Other intestinal adsorbents,unknown
auranofin,auranofin,auranofin,M01CB03,M01CB,Gold preparations,Gold preparations,unknown
aurothioglucose,aurothioglucose,aurothioglucose,M01CB04,M01CB,Gold preparations,Gold preparations,unknown
aurotioprol,aurotioprol,aurotioprol,M01CB05,M01CB,Gold preparations,Gold preparations,unknown
avanafil,avanafil,avanafil,G04BE10,G04BE,Drugs used in erectile dysfunction,Drugs used in erectile dysfunction,unknown
avapritinib,avapritinib,avapritinib,L01EX18,L01EX,Other protein kinase inhibitors,Other protein kinase inhibitors,unknown
avatrombopag,avatrombopag,avatrombopag,B02BX08,B02BX,Other systemic hemostatics,Other systemic hemostatics,unknown
avelumab,avelumab,avelumab,L01XC31,L01XC,Monoclonal antibodies,Monoclonal antibodies,unknown
axicabtagene ciloleucel,axicabtagene ciloleucel,axicabtagene ciloleucel,L01XX70,L01XX,Other antineoplastic agents,Other antineoplastic agents,unknown
axitinib,axitinib,axitinib,L01EK01,L01EK,Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors,Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors,unknown
azacitidine,azacitidine,azacitidine,L01BC07,L01BC,Pyrimidine analogues,Pyrimidine analogues,unknown
azanidazole,azanidazole,azanidazole,G01AF13,G01AF,Imidazole derivatives,Imidazole derivatives,unknown
azapetine,azapetine,azapetine,C04AX30,C04AX,Other peripheral vasodilators,Other peripheral vasodilators,unknown
azapropazone,azapropazone,azapropazone,M01AX04,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids","Other antiinflammatory and antirheumatic agents, non-steroids",nsaid
azatadine,azatadine,azatadine,R06AX09,R06AX,Other antihistamines for systemic use,Other antihistamines for systemic use,antihistamine
azathioprine,azathioprine,azathioprine,L04AX01,L04AX,Other immunosuppressants,Other immunosuppressants,unknown
azelaic acid,azelaic acid,azelaic acid,D10AX03,D10AX,Other anti-acne preparations for topical use,Other anti-acne preparations for topical use,unknown
azelastine,azelastine,azelastine,R06AX19,R06AX,Other antihistamines for systemic use,Other antihistamines for systemic use,antihistamine
azidamfenicol,azidamfenicol,azidamfenicol,S01AA25,S01AA,Antibiotics,Antibiotics,unknown
azidocillin,azidocillin,azidocillin,J01CE04,J01CE,Beta-lactamase sensitive penicillins,Beta-lactamase sensitive penicillins,penicillin
azilsartan medoxomil,azilsartan medoxomil,azilsartan medoxomil,C09CA09,C09CA,"Angiotensin II receptor blockers (ARBs), plain","Angiotensin II receptor blockers (ARBs), plain",arb
azithromycin,azithromycin,azithromycin,J01FA10,J01FA,Macrolides,Macrolides,macrolide
azlocillin,azlocillin,azlocillin,J01CA09,J01CA,Penicillins with extended spectrum,Penicillins with extended spectrum,penicillin
aztreonam,aztreonam,aztreonam,J01DF01,J01DF,Monobactams,Monobactams,unknown
bacampicillin,bacampicillin,bacampicillin,J01CA06,J01CA,Penicillins with extended spectrum,Penicillins with extended spectrum,penicillin
bacitracin,bacitracin,bacitracin,D06AX05,D06AX,Other antibiotics for topical use,Other antibiotics for topical use,unknown
baclofen,baclofen,baclofen,M03BX01,M03BX,Other centrally acting agents,Other centrally acting agents,unknown
baloxavir marboxil,baloxavir marboxil,baloxavir marboxil,J05AX25,J05AX,Other antivirals,Other antivirals,unknown
balsalazide,balsalazide,balsalazide,A07EC04,A07EC,Aminosalicylic acid and similar agents,Aminosalicylic acid and similar agents,unknown
balugrastim,balugrastim,balugrastim,L03AA15,L03AA,Colony stimulating factors,Colony stimulating factors,unknown
bambuterol,bambuterol,bambuterol,R03CC12,R03CC,Selective beta-2-adrenoreceptor agonists,Selective beta-2-adrenoreceptor agonists,unknown
bamethan,bamethan,bamethan,C04AA31,C04AA,2-amino-1-phenylethanol derivatives,2-amino-1-phenylethanol derivatives,unknown
bamifylline,bamifylline,bamifylline,R03DA08,R03DA,Xanthines,Xanthines,unknown
bamipine,bamipine,bamipine,R06AX01,R06AX,Other antihistamines for systemic use,Other antihistamines for systemic use,antihistamine
barbexaclone,barbexaclone,barbexaclone,N03AA04,N03AA,Barbiturates and derivatives,Barbiturates and derivatives,unknown
barbital,barbital,barbital,N05CA04,N05CA,"Barbiturates, plain","Barbiturates, plain",unknown
baricitinib,baricitinib,baricitinib,L04AA37,L04AA,Selective immunosuppressants,Selective immunosuppressants,unknown
barium sulfate with suspending agents,barium sulfate with suspending agents,barium sulfate with suspending agents,V08BA01,V08BA,Barium sulfate containing X-ray contrast media,Barium sulfate containing X-ray contrast media,unknown
barium sulfate without suspending agents,barium sulfate without suspending agents,barium sulfate without suspending agents,V08BA02,V08BA,Barium sulfate containing X-ray contrast media,Barium sulfate containing X-ray contrast media,unknown
barnidipine,barnidipine,barnidipine,C08CA12,C08CA,Dihydropyridine derivatives,Dihydropyridine derivatives,unknown
basiliximab,basiliximab,basiliximab,L04AC02,L04AC,Interleukin inhibitors,Interleukin inhibitors,unknown
batroxobin,batroxobin,batroxobin,B02BX03,B02BX,Other systemic hemostatics,Other systemic hemostatics,unknown
bazedoxifene,bazedoxifene,bazedoxifene,G03XC02,G03XC,Selective estrogen receptor modulators,Selective estrogen receptor modulators,unknown
bcg vaccine,BCG vaccine,BCG vaccine,L03AX03,L03AX,Other immunostimulants,Other immunostimulants,unknown
becaplermin,becaplermin,becaplermin,A01AD08,A01AD,Other agents for local oral treatment,Other agents for local oral treatment,unknown
beclamide,beclamide,beclamide,N03AX30,N03AX,Other antiepileptics,Other antiepileptics,unknown
beclometasone,beclometasone,beclometasone,A07EA07,A07EA,Corticosteroids acting locally,Corticosteroids acting locally,unknown
bedaquiline,bedaquiline,bedaquiline,J04AK05,J04AK,Other drugs for treatment of tuberculosis,Other drugs for treatment of tuberculosis,unknown
befunolol,befunolol,befunolol,S01ED06,S01ED,Beta blocking agents,Beta blocking agents,unknown
begelomab,begelomab,begelomab,L04AA35,L04AA,Selective immunosuppressants,Selective immunosuppressants,unknown
beinaglutide,beinaglutide,beinaglutide,A10BJ07,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,Glucagon-like peptide-1 (GLP-1) analogues,unknown
bekanamycin,bekanamycin,bekanamycin,J01GB13,J01GB,Other aminoglycosides,Other aminoglycosides,aminoglycoside
belantamab mafodotin,belantamab mafodotin,belantamab mafodotin,L01XC39,L01XC,Monoclonal antibodies,Monoclonal antibodies,unknown
belatacept,belatacept,belatacept,L04AA28,L04AA,Selective immunosuppressants,Selective immunosuppressants,unknown
belimumab,belimumab,belimumab,L04AA26,L04AA,Selective immunosuppressants,Selective immunosuppressants,unknown
belinostat,belinostat,belinostat,L01XH04,L01XH,Histone deacetylase (HDAC) inhibitors,Histone deacetylase (HDAC) inhibitors,unknown
belladonna total alkaloids,belladonna total alkaloids,belladonna total alkaloids,A03BA04,A03BA,"Belladonna alkaloids, tertiary amines","Belladonna alkaloids, tertiary amines",unknown
belotecan,belotecan,belotecan,L01CE04,L01CE,Topoisomerase 1 (TOP1) inhibitors,Topoisomerase 1 (TOP1) inhibitors,unknown
bemegride,bemegride,bemegride,R07AB05,R07AB,Respiratory stimulants,Respiratory stimulants,unknown
bemiparin,bemiparin,bemiparin,B01AB12,B01AB,Heparin group,Heparin group,unknown
bempedoic acid,bempedoic acid,bempedoic acid,C10AX15,C10AX,Other lipid modifying agents,Other lipid modifying agents,unknown
benazepril,benazepril,benazepril,C09AA07,C09AA,"ACE inhibitors, plain","ACE inhibitors, plain",ace_inhibitor
bencyclane,bencyclane,bencyclane,C04AX11,C04AX,Other peripheral vasodilators,Other peripheral vasodilators,unknown
bendamustine,bendamustine,bendamustine,L01AA09,L01AA,Nitrogen mustard analogues,Nitrogen mustard analogues,unknown
bendazac,bendazac,bendazac,M02AA11,M02AA,"Antiinflammatory preparations, non-steroids for topical use","Antiinflammatory preparations, non-steroids for topical use",nsaid
bendroflumethiazide,bendroflumethiazide,bendroflumethiazide,C03AA01,C03AA,"Thiazides, plain","Thiazides, plain",unknown
benfluorex,benfluorex,benfluorex,A10BX06,A10BX,"Other blood glucose lowering drugs, excl. insulins","Other blood glucose lowering drugs, excl. insulins",unknown
benfotiamine,benfotiamine,benfotiamine,A11DA03,A11DA,"Vitamin B1, plain","Vitamin B1, plain",unknown
benidipine,benidipine,benidipine,C08CA15,C08CA,Dihydropyridine derivatives,Dihydropyridine derivatives,unknown
benorilate,benorilate,benorilate,N02BA10,N02BA,Salicylic acid and derivatives,Salicylic acid and derivatives,unknown
benoxaprofen,benoxaprofen,benoxaprofen,M01AE06,M01AE,Propionic acid derivatives,Propionic acid derivatives,nsaid
benperidol,benperidol,benperidol,N05AD07,N05AD,Butyrophenone derivatives,Butyrophenone derivatives,unknown
benproperine,benproperine,benproperine,R05DB02,R05DB,Other cough suppressants,Other cough suppressants,unknown
benralizumab,benralizumab,benralizumab,R03DX10,R03DX,Other systemic drugs for obstructive airway diseases,Other systemic drugs for obstructive airway diseases,unknown
bentazepam,bentazepam,bentazepam,N05BA24,N05BA,Benzodiazepine derivatives,Benzodiazepine derivatives,benzodiazepine
bentiromide,bentiromide,bentiromide,V04CK03,V04CK,Tests for pancreatic function,Tests for pancreatic function,unknown
benzalkonium,benzalkonium,benzalkonium,D08AJ01,D08AJ,Quaternary ammonium compounds,Quaternary ammonium compounds,unknown
benzathine benzylpenicillin,benzathine benzylpenicillin,benzathine benzylpenicillin,J01CE08,J01CE,Beta-lactamase sensitive penicillins,Beta-lactamase sensitive penicillins,penicillin
benzathine phenoxymethylpenicillin,benzathine phenoxymethylpenicillin,benzathine phenoxymethylpenicillin,J01CE10,J01CE,Beta-lactamase sensitive penicillins,Beta-lactamase sensitive penicillins,penicillin
benzatropine,benzatropine,benzatropine,N04AC01,N04AC,Ethers of tropine or tropine derivatives,Ethers of tropine or tropine derivatives,unknown
benzbromarone,benzbromarone,benzbromarone,M04AB03,M04AB,Preparations increasing uric acid excretion,Preparations increasing uric acid excretion,unknown
benzethonium,benzethonium,benzethonium,R02AA09,R02AA,Antiseptics,Antiseptics,unknown
benzethonium chloride,benzethonium chloride,benzethonium chloride,D08AJ08,D08AJ,Quaternary ammonium compounds,Quaternary ammonium compounds,unknown
benzilone,benzilone,benzilone,A03AB01,A03AB,"Synthetic anticholinergics, quaternary ammonium compounds","Synthetic anticholinergics, quaternary ammonium compounds",unknown
benziodarone,benziodarone,benziodarone,C01DX04,C01DX,Other vasodilators used in cardiac diseases,Other vasodilators used in cardiac diseases,unknown
benznidazole,benznidazole,benznidazole,P01CA02,P01CA,Nitroimidazole derivatives,Nitroimidazole derivatives,unknown
benzocaine,benzocaine,benzocaine,C05AD03,C05AD,Local anesthetics,Local anesthetics,unknown
benzoctamine,benzoctamine,benzoctamine,N05BD01,N05BD,Dibenzo-bicyclo-octadiene derivatives,Dibenzo-bicyclo-octadiene derivatives,unknown
benzododecinium,benzododecinium,benzododecinium,D09AA05,D09AA,Medicated dressings with antiinfectives,Medicated dressings with antiinfectives,unknown
benzonatate,benzonatate,benzonatate,R05DB01,R05DB,Other cough suppressants,Other cough suppressants,unknown
benzoxonium chloride,benzoxonium chloride,benzoxonium chloride,A01AB14,A01AB,Antiinfectives and antiseptics for local oral treatment,Antiinfectives and antiseptics for local oral treatment,unknown
benzoyl peroxide,benzoyl peroxide,benzoyl peroxide,D10AE01,D10AE,Peroxides,Peroxides,unknown
benzydamine,benzydamine,benzydamine,M01AX07,M01AX,"Other antiinflammatory and antirheumatic agents, non-steroids","Other antiinflammatory and antirheumatic agents, non-steroids",nsaid
benzyl alcohol,benzyl alcohol,benzyl alcohol,P03AX06,P03AX,"Other ectoparasiticides, incl. scabicides","Other ectoparasiticides, incl. scabicides",unknown
benzyl benzoate,benzyl benzoate,benzyl benzoate,P03AX01,P03AX,"Other ectoparasiticides, incl. scabicides","Other ectoparasiticides, incl. scabicides",unknown
benzylpenicillin,benzylpenicillin,benzylpenicillin,J01CE01,J01CE,Beta-lactamase sensitive penicillins,Beta-lactamase sensitive penicillins,penicillin
benzylthiouracil,benzylthiouracil,benzylthiouracil,H03BA03,H03BA,Thiouracils,Thiouracils,unknown
bephenium,bephenium,bephenium,P02CX02,P02CX,Other antinematodals,Other antinematodals,unknown
bepridil,bepridil,bepridil,C08EA02,C08EA,Phenylalkylamine derivatives,Phenylalkylamine derivatives,unknown
beraprost,beraprost,beraprost,B01AC19,B01AC,Platelet aggregation inhibitors excl. heparin,Platelet aggregation inhibitors excl. heparin,antiplatelet
bergapten,bergapten,bergapten,D05BA03,D05BA,Psoralens for systemic use,Psoralens for systemic use,unknown
bermekimab,bermekimab,bermekimab,L01XC29,L01XC,Monoclonal antibodies,Monoclonal antibodies,unknown
besifloxacin,besifloxacin,besifloxacin,S01AE08,S01AE,Fluoroquinolones,Fluoroquinolones,unknown
betacarotene,betacarotene,betacarotene,D02BB01,D02BB,Protectives against UV-radiation for systemic use,Protectives against UV-radiation for systemic use,unknown
betahistine,betahistine,betahistine,N07CA01,N07CA,Antivertigo preparations,Antivertigo preparations,unknown
betaine,betaine,betaine,A16AA06,A16AA,Amino acids and derivatives,Amino acids and derivatives,unknown
betaine hydrochloride,betaine hydrochloride,betaine hydrochloride,A09AB02,A09AB,Acid preparations,Acid preparations,unknown
betamethasone,betamethasone,betamethasone,H02AB01,H02AB,Glucocorticoids,Glucocorticoids,unknown
betanidine,betanidine,betanidine,C02CC01,C02CC,Guanidine derivatives,Guanidine derivatives,unknown
betaxolol,betaxolol,betaxolol,C07AB05,C07AB,"Beta blocking agents, selective","Beta blocking agents, selective",beta_blocker
